page,category,matched,similarity,ref_question,ocr_question,question_type,is_table_item,ocr_only
13,병력,False,0.0,,고지혈증 진단여부,,False,True
13,병력,False,0.0,,뇌졸중(중풍) 진단여부,,False,True
13,인구학적특성,False,0.0,,만 몇 세입니까?,,False,True
13,가족력,False,0.0,,남자형제가 몇 명입니까?,,False,True
13,가족력,False,0.0,,여자형제가 몇 명입니까?,,False,True
13,가족력,False,0.0,,아들이 몇 명입니까?,,False,True
13,가족력,False,0.0,,딸이 몇 명입니까?,,False,True
14,병력,True,0.72,협심증 또는 심근경색 진단여부,심근경색 진단여부,single_choice,False,False
14,병력,True,1.0,폐결핵 진단여부,폐결핵 진단여부,single_choice,False,False
14,병력,True,1.0,갑상선질환 진단여부,갑상선질환 진단여부,single_choice,False,False
14,병력,False,0.0,갑상선질환 상태,,single_choice,False,False
14,가족력,False,0.0,"가족력 (부모, 형제, 자녀)",,multiple_choice,False,False
14,가족력,False,0.0,가족력 만 ___세,,text_input,False,False
14,가족력,False,0.0,"가족력 (부모, 형제, 자녀)",,multiple_choice,False,False
14,가족력,False,0.0,가족력 만 ___세,,text_input,False,False
14,가족력,False,0.0,"가족력 (부모, 형제, 자녀)",,multiple_choice,False,False
14,가족력,False,0.0,가족력 만 ___세,,text_input,False,False
14,병력,False,0.0,,협심증 진단여부,,False,True
14,병력,False,0.0,,"갑상선 상태 (1항진, 2저하)",,False,True
14,인구학적특성,False,0.0,,만 몇 세,,False,True
14,인구학적특성,False,0.0,,만 몇 세,,False,True
14,인구학적특성,False,0.0,,만 몇 세,,False,True
14,가족력,False,0.0,,남자형제 수,,False,True
14,가족력,False,0.0,,여자형제 수,,False,True
14,가족력,False,0.0,,모름 여부,,False,True
14,가족력,False,0.0,,아들 수,,False,True
14,가족력,False,0.0,,딸 수,,False,True
14,가족력,False,0.0,,남자형제 수,,False,True
14,가족력,False,0.0,,여자형제 수,,False,True
14,가족력,False,0.0,,아들 수,,False,True
14,가족력,False,0.0,,딸 수,,False,True
14,가족력,False,0.0,,남자형제 수,,False,True
14,가족력,False,0.0,,여자형제 수,,False,True
14,가족력,False,0.0,,아들 수,,False,True
14,가족력,False,0.0,,딸 수,,False,True
15,가족력,False,0.0,형제자매의 성별을 선택해 주세요.,,multiple_choice,False,False
15,가족력,False,0.0,가족의 만 몇 세입니까?,,text_input,False,False
15,인구학적특성,False,0.0,만 몇 세입니까?,,text_input,False,False
15,병력,True,0.9473684210526315,만성위염 진단 여부,만성위염 진단여부,single_choice,False,False
15,병력,True,0.9473684210526315,악성종양 진단 여부,악성종양 진단여부,single_choice,False,False
15,가족력,False,0.0,,남자형제 수,,False,True
15,가족력,False,0.0,,여자형제 수,,False,True
15,가족력,False,0.0,,아들 수,,False,True
15,가족력,False,0.0,,딸 수,,False,True
15,인구학적특성,False,0.0,,나이,,False,True
15,병력,False,0.0,,악성종양 종류,,False,True
16,가족력,False,0.0,악성종양 종류,,multiple_choice,False,False
16,가족력,False,0.0,악성종양 만 나이,,text_input,False,False
16,가족력,False,0.0,악성종양 종류,,multiple_choice,False,False
16,가족력,False,0.0,악성종양 만 나이,,text_input,False,False
16,인구학적특성,False,0.0,귀하의 형제 관계는 어떻게 되십니까? (본인 포함),,text_input,False,False
16,병력,False,0.0,,악성종양 여부,,False,True
16,가족력,False,0.0,,귀하의 형제 관계는 어떻게 되십니까? (본인 포함),,False,True
16,가족력,False,0.0,,형제 수,,False,True
16,가족력,False,0.0,,남자형제 수,,False,True
16,가족력,False,0.0,,여자형제 수,,False,True
16,가족력,False,0.0,,모름,,False,True
17,인구학적특성,True,1.0,귀하의 자녀는 몇 명입니까?,귀하의 자녀는 몇 명입니까?,text_input,False,False
17,우울증 선별도구,False,0.0,지난 한 달 동안 가장 우울했던 2주동안을 생각해 보십시오. 그 때가 언제입니까?,,date_input,False,False
17,우울증 선별도구,False,0.0,"기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다",,scale,True,False
17,우울증 선별도구,False,0.0,평소 하던 일에 대한 흥미가 없어지거나 즐거움을 느끼지 못했다,,scale,True,False
17,우울증 선별도구,False,0.0,잠들기가 어렵거나 자주 깼다 / 혹은 너무 많이 잤다,,scale,True,False
17,우울증 선별도구,False,0.0,평소보다 식욕이 줄었다 / 혹은 평소보다 많이 먹었다,,scale,True,False
17,우울증 선별도구,False,0.0,다른 사람들이 눈치 챌 정도로 평소보다 말과 행동이 느려졌다 / 혹은 너무 안절부절 못해서 가만히 앉아있을 수 없었다,,scale,True,False
17,우울증 선별도구,False,0.0,피곤하고 기운이 없었다,,scale,True,False
17,우울증 선별도구,False,0.0,"내가 잘못 했거나, 실패했다는 생각이 들었다 / 혹은 자신과 가족을 실망시켰다고 생각했다",,scale,True,False
17,우울증 선별도구,False,0.0,신문을 읽거나 TV 를 보는 것과 같은 일상적인 일에도 집중할 수가 없었다,,scale,True,False
17,우울증 선별도구,False,0.0,차라리 죽는 것이 더 낫겠다고 생각했다 / 혹은 자해할 생각을 했다,,scale,True,False
17,우울증,False,0.0,,가장 우울했던 2주동안을 생각해 보십시오. 그 때가 언제입니까?,,False,True
17,우울증,False,0.0,,"기분이 가라앉거나, 우울하거나, 희망이 없다고 느꼈다",,False,True
17,우울증,False,0.0,,평소 하던 일에 대한 흥미가 없어지거나 즐거움을 느끼지 못했다,,False,True
17,우울증,False,0.0,,잠들기가 어렵거나 자주 깼다 / 혹은 너무 많이 잤다,,False,True
17,우울증,False,0.0,,평소보다 식욕이 줄었다 / 혹은 평소보다 많이 먹었다,,False,True
17,우울증,False,0.0,,다른 사람들이 눈치 챌 정도로 평소보다 말과 행동이 느려졌다,,False,True
17,우울증,False,0.0,,피곤하고 기운이 없었다,,False,True
17,우울증,False,0.0,,"내가 잘못했거나, 실패했다는 생각이 들었다 / 혹은 자신과 가족을 실망시켰다고 생각했다",,False,True
17,우울증,False,0.0,,신문을 읽거나 TV를 보는 것과 같은 일상적인 일에도 집중할 수가 없었다,,False,True
17,우울증,False,0.0,,차라리 죽는 것이 더 낫겠다고 생각했다 / 혹은 자해할 생각을 했다,,False,True
